,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
147,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Carving'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
148,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Carving'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
149,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
150,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
151,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
152,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Wood - Punch Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
153,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
154,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['OutDoor_Tiles']
155,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['OutDoor_Tiles']
156,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['OutDoor_Tiles']
157,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['OutDoor_Tiles']
158,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
159,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
160,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
161,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
162,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
163,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
164,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
165,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
166,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
167,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
168,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
